,filename,volume,model_height,model_radius,infill,layer_height,est_time
19911,stls/620033.stl,10761.640536165272,35.35530090332031,9.843216455875796,20.0,0.2,54.0
19912,stls/620248.stl,20283.639016316345,7.5,29.340490399620688,20.0,0.2,101.0
19913,stls/620351.stl,1182.0807890211388,2.1415536403656006,13.255135294015899,20.0,0.2,6.0
19914,stls/620408.stl,1490.7787173637828,3.000001907348633,12.576821301527637,20.0,0.2,14.0
19915,stls/620445.stl,3500.4209594726562,7.0,12.616421256244331,20.0,0.2,12.0
19916,stls/620448.stl,116953.09401814143,10.0,61.01420002405733,20.0,0.2,305.0
19917,stls/62047.stl,14936.083907452723,14.524999618530273,18.091949681239473,20.0,0.2,38.0
19918,stls/620479.stl,254.67404804314177,3.0,5.198245449077913,20.0,0.2,1.0
19919,stls/620496.stl,5135.62766546011,2.200000047683716,27.25903538481499,20.0,0.2,24.0
19920,stls/620516.stl,4656.459724388942,6.349999904632568,15.277986773987747,20.0,0.2,21.0
19921,stls/620538.stl,1692.7454873522122,5.0,10.380921186650133,20.0,0.2,9.0
19922,stls/620546.stl,297784.2931808288,35.0,52.04055684057804,20.0,0.2,591.0
19923,stls/620555.stl,139.83470602423512,9.256000518798828,2.192910289659113,20.0,0.2,2.0
19924,stls/620573.stl,1328.2382692272465,5.0,9.195557321910185,20.0,0.2,7.0
19925,stls/620645.stl,7594.850486990686,34.5629997253418,8.363324811407619,20.0,0.2,30.0
19926,stls/62065.stl,2352.309649366541,5.956999778747559,11.211365643186415,20.0,0.2,9.0
19927,stls/620664.stl,20238.89021659175,15.0,20.723961721205004,20.0,0.2,126.0
19928,stls/620678.stl,19422.449267853808,45.29595184326172,11.682811416052676,20.0,0.2,59.0
19929,stls/620740.stl,63742.63216253478,78.5,16.07700814638726,20.0,0.2,210.0
19930,stls/620746.stl,9899.319932628661,33.959999084472656,9.632608485290632,20.0,0.2,50.0
19931,stls/620747.stl,3522.161671456121,15.0,8.645379809517173,20.0,0.2,11.0
19932,stls/620777.stl,10603.48830379998,19.485553741455078,13.161126651733026,20.0,0.2,18.0
19933,stls/620819.stl,24898.64984276863,18.010000228881836,20.977614647916642,20.0,0.2,71.0
19934,stls/620842.stl,24925.549137768423,18.010000228881836,20.98894318831187,20.0,0.2,72.0
19935,stls/62090.stl,1472.8481998624823,3.001999855041504,12.496797264614667,20.0,0.2,11.0
19936,stls/620976.stl,60106900.00001081,400.0,218.7042552047395,20.0,0.2,610.0
19937,stls/6210.stl,10430.11883354187,10.0,18.220894431361277,20.0,0.2,32.0
19938,stls/621099.stl,698751.830055811,17.081998825073242,114.10829047414651,20.0,0.2,338.0
19939,stls/621112.stl,3851.400163263393,10.835000991821289,10.637018343634125,20.0,0.2,25.0
19940,stls/621125.stl,11003.110810514036,3.0,34.168206224316975,20.0,0.2,52.0
19941,stls/621217.stl,6767.715559083074,12.0,13.398478674013711,20.0,0.2,29.0
